city,average_price,total_units,total_supply,entire_home_apt,hotel_room,private_room,shared_room
Hawaii,309.09,22434,5022204,20050,195,2119,70
Broward County,230.09,10858,2160399,8267,134,2295,162
Columbus,321.72,1409,216274,1043,3,346,17
Nashville,215.91,6139,1136712,5332,85,708,14
Boston,170.33,3339,616068,2162,27,1142,8
Los Angeles,222.68,31536,5480655,20261,157,10046,1072
Denver,158.86,4200,537868,3186,35,935,44
Chicago,153.02,6397,1114819,4401,73,1833,90
New York City,149.56,45756,5524613,23577,393,20842,944
San Francisco,252.02,7053,1160383,4282,98,2496,177
