neighbourhood,price
Tribal Land,691.2
Southwest Ranches,482.33
Lighthouse Point,420.52
Hillsboro Beach,396.54
Coral Springs,299.47
Plantation,275.92
Tamarac,275.25
Hallandale Beach,271.87
Fort Lauderdale,259.05
Dania Beach,256.32
Lauderdale By The Sea,235.8
Deerfield Beach,235.37
Hollywood,228.72
Coconut Creek,209.02
Davie,204.02
Pompano Beach,202.2
County Regional Facility,201.67
Miramar,197.63
Sea Ranch Lakes,194.4
Oakland Park,189.57
Pembroke Pines,184.39
Wilton Manors,176.8
Unincorporated,175.26
Weston,156.76
Lazy Lake,137.5
